Symbol,Fiscal Year,Payment Date,ex-dividend Date,Amount
TTLC,2017,28-Sep-18,,103.45
SPHC,2017,27-Sep-18,,78
TTLC,2017,28-Sep-18,26-Sep-18,103.45
SPHC,2017,27-Sep-18,25-Sep-18,78
SCRC,2017,28-Sep-18,,72
PALC,2017,24-Sep-18,20-Sep-18,253.47
SCRC,2017,28-Sep-18,26-Sep-18,72
SDCC,2017,24-Sep-18,20-Sep-18,253.47
PRSC,2017,31-Aug-18,29-Aug-18,3839
SDCC,2017,29-Aug-18,27-Aug-18,270
SMBC,2017,29-Aug-18,27-Aug-18,450
FTSC,2017,16-Aug-18,13-Aug-18,161.27
CFAC,2017,27-Jul-18,,9.9
SHEC,2017,23-Jul-18,,42.86
TTLC,2017,27-Jul-18,25-Jul-18,56.25
CFAC,2017,27-Jul-18,25-Jul-18,9.9
TTLC,2017,27-Jul-18,25-Jul-18,56.25
BNBC,2017,25-Jul-18,,63
CIEC,2017,20-Jul-18,17-Jul-18,31.95
SGBC,2017,17-Jul-18,,585
CIEC,2017,20-Jul-18,18-Jul-18,31.95
BNBC,2017,25-Jul-18,23-Jul-18,63
UNXC,2017,13-Jul-18,,173.7
CBIBF,2017,5-Jul-18,,336
SHEC,2017,23-Jul-18,19-Jul-18,42.86
SOGC,2018,23-Jul-18,,432
UNXC,2017,13-Jul-18,11-Jul-18,173.7
SGBC,2017,17-Jul-18,13-Jul-18,585
SOGC,2017,23-Jul-18,19-Jul-18,432
CBIBF,2017,5-Jul-18,3-Jul-18,336
ECOC,2017,22-Jun-18,,1844
None,2017,25-Jun-18,,466.1
BICC,2017,2-Jul-18,28-Jun-18,213.56
ABJC,2017,20-Jun-18,,98.97
None,2017,25-Jun-18,21-Jun-18,466.1
BOAC,2017,6-Jun-18,,295
ABJC,2017,20-Jun-18,18-Jun-18,98.97
ECOC,2017,22-Jun-18,20-Jun-18,1844
SIBC,2017,8-Jun-18,6-Jun-18,945
SLBC,2017,14-Jun-18,14-Jun-18,2322
SIBC,2017,8-Jun-18,6-Jun-18,945
ONTBF,2017,6-Jun-18,,727.9125
ONTBF,2017,6-Jun-18,4-May-18,727.9125
BOAN,2017,31-May-18,29-May-18,379.44
BOAM,2017,31-May-18,29-May-18,290
CABC,2017,31-May-18,29-May-18,100
BOAC,2017,6-Jun-18,4-Jun-18,295
BOAB,2017,15-May-18,,407
BOABF,,7-May-18,,358
BOAS,2017,2-May-18,,160
BOABF,2017,7-May-18,3-May-18,358
BOAS,2017,2-May-18,27-Apr-18,160
FTSC,2016,9-Jan-18,,1200
FTSC,2016,9-Jan-18,5-Jan-18,1200
SEMC,2016,29-Sep-17,,676.8
SCRC,2016,29-Sep-17,,549
SCRC,2016,29-Sep-17,,549
SIVC,2016,29-Sep-17,,630
PALC,2016,29-Sep-17,,240.6
SDCC,2016,28-Sep-17,,2700
SIVC,2016,29-Sep-17,27-Sep-17,630
PALC,2016,29-Sep-17,27-Sep-17,240.6
SDCC,2016,28-Sep-17,26-Sep-17,2700
SEMC,2016,29-Sep-17,27-Sep-17,676.8
PRSC,2016,25-Sep-17,21-Sep-17,13500
CIEC,2016,20-Sep-17,,3465
ABJC,2016,24-Jul-17,,49.5
SHEC,2016,27-Jul-17,,33.3
SHEC,2016,25-Jul-17,,33.3
FTSC,2016,31-Jul-17,,1045
SOGC,2016,31-Jul-17,,3204
CFAC,2016,24-Jul-17,,2032
SHEC,2016,31-Jul-17,,33.7
BICC,2016,24-Jul-17,,2771.41
TTLC,2016,25-Jul-17,,450
SOGC,2016,31-Jul-17,27-Jul-17,3204
FTSC,2016,31-Jul-17,27-Jul-17,1045
SHEC,2016,27-Jul-17,25-Jul-17,33.7
TTLC,2016,25-Jul-17,21-Jul-17,450
ABJC,2016,24-Jul-17,20-Jul-17,49.5
CFAC,2016,24-Jul-17,20-Jul-17,2032
BICC,2016,24-Jul-17,20-Jul-17,2771.41
UNXC,2016,10-Jul-17,,868.5
BNBC,2016,11-Jul-17,,3252
SDSC,2016,13-Jul-17,,8977
SDSC,2016,13-Jul-17,11-Jul-17,8997
CIEC,2016,12-Jul-17,10-Jul-17,3465
BNBC,2016,11-Jul-17,7-Jul-17,3252
CIEC,2016,12-Jul-17,10-Jul-17,3465
UNXC,2016,10-Jul-17,6-Jul-17,868
TTLC,2015,15-Jul-16,13-Jul-16,935
BNBC,2015,8-Jul-16,6-Jul-16,5500
PRSC,2015,5-Jul-16,1-May-16,13050
FTSC,2015,30-Jun-16,28-Jun-16,1045
SDSC,2015,28-Jun-16,24-Jun-16,9581
SGBC,2015,28-Jun-16,24-Apr-16,5228
ABJC,2015,16-Jun-16,14-Jun-16,1800
STBC,2015,9-Jun-16,7-Jun-16,8150
None,2015,10-May-16,6-May-16,1500
SGBC,2016,4-Jul-17,,5837
SGBC,2016,4-Jul-17,30-Jun-17,5837
TTLC,2016,30-Jun-17,28-Jun-17,485
CABC,2016,30-Jun-17,28-Jun-17,2000
SIBC,2016,9-Jun-17,,855
TTLC,2016,,,450
STBC,2016,19-Jun-17,15-Jun-17,4124
ONTBF,2016,1-Jun-17,,619.0625
CBIBF,2016,9-Jun-17,,1120
