Sticker,Item,2017,2016,2015,2014,2013
SIVC,Revenue,7530.36,7587.24,8064.66,8058.89,8000.16
SAFC,Revenue,27567,26089,27058,24217,22787
BNBC,Revenue,41351.033,44600.73,44696.93,39015.14,35277.62
SDSC,Revenue,90321.34,85335.24,83269.2,119667.62,81596.47
CFAC,Revenue,89981.77,65079.28,75268.88,65779.7,63633.73
CIEC,Revenue,593261.42,589635.48,500366.89,439443.86,372617.36
SEMC,Revenue,19774.36,17707.93,17775.34,17144.74,22250.59
FTSC,Revenue,46320.36,40188.91,180571.55,182403.7,166648.92
SVOC,Revenue,,9579.64,11069,12072,12029
NEIC,Revenue,6008,3350.79,5148.36,5760.11,4523.42
NTLC,Revenue,148479.56,128911.74,136317.77,122579.44,112358.17
ONTBF,Revenue,162722.95,157472.1,142482.8,130926.18,
PALC,Revenue,131544.84,112460.94,113395.72,126036.45,128792.59
SPHC,Revenue,151978.77,151978.77,112963.55,97449.04,99611.22
ABJC,Revenue,13367.49,13367.49,12069.72,10798.12,7783.2
STAC,Revenue,3866.31,4490.98,6692.01,9550.25,5773.11
CABC,Revenue,6459,14782.38,10472.39,13039.49,11045.52
SICC,Revenue,1105.3,1936.64,861.19,761.39,1203.32
STBC,Revenue,67200.66,59659.2,90972.01,121828.95,90149.99
SMBC,Revenue,90262,92255,133378,141109,107797
SDCC,Revenue,91269.53,87982.59,87928.6,81229.77,76744.32
SOGC,Revenue,70043.21,56226.76,53473.81,57540.79,66108.82
SLBC,Revenue,193372,191441,156838.68,141961.65,151364.27
SNTS,Revenue,972905,905036,863291,816019,738314
SCRC,Revenue,56161.51,52799,47728,49245,53144
TTLC,Revenue,362232,334827,324279,312531,274917
PRSC,Revenue,,54860.43,55794.61,49188.3,42846.13
UNLC,Revenue,,57489.14,55909.26,57770.15,58799.61
UNXC,Revenue,37667.29,37163.77,39395.24,36480.24,27722.3
SHEC,Revenue,311413.74,311413.74,271008.64,276368.69,259353.53
SIVC,Profit,-990.91,69.1,840.67,946.91,971.48
SAFC,Profit,-452,71,896,-853,696
BOAC,Profit,10845,10149,8241,8076,5052
BOAN,Profit,7284.344,6600.1,5795.37,5096,3864.78
BNBC,Profit,2121.79,2393.41,2343.21,2033.82,2009.95
BICC,Profit,9287.44,12046.76,9202.24,10834.79,9268.96
SDSC,Profit,13143.41,10122.71,,1655.83,1655.83
CFAC,Profit,4067.139,4094.27,4630.51,3752.46,3403.46
CIEC,Profit,1986.97,10780.31,8219.88,8277.49,8284.54
CBIBF,Profit,19571,16380,15001,15055,15575
SEMC,Profit,149.57,474.08,784.53,-47.71,126.92
FTSC,Profit,2492.1,2455.73,5331.76,4697.59,5198.19
SVOC,Profit,,-1292,-1292,-761,-1560
NEIC,Profit,505.507,-124.71,-346.6,-53.71,40.16
NTLC,Profit,-4307.64,3135.12,3311.81,-5675.22,-6289.09
ONTBF,Profit,28284.54,24043.62,25277.7,19664.83,
PALC,Profit,8707.73,4132.78,-482.71,10004.5,11030.34
SPHC,Profit,12860.96,12860.96,1169.86,-1779.53,-3799.45
ABJC,Profit,992.62,992.62,1047.33,1582.33,1249.23
STAC,Profit,877.06,1112.87,340.11,2112.61,338.37
SGBC,Profit,39624,35430,27028,27726,13051
CABC,Profit,597.61,597.61,701.17,700.19,1015.63
SICC,Profit,100.56,200.83,434.87,68.24,40.55
STBC,Profit,-4581.14,2979.33,9195.63,6538.08,7834.29
SMBC,Profit,7506,6860,5534,-13175,-6104
SIBC,Profit,22530,17091,14811.92,8451.69,10521.81
SDCC,Profit,2722.63,2707.13,3291.13,3117.92,2447.79
SOGC,Profit,10428,6157.15,5993.09,4578.01,5841.39
SLBC,Profit,4250,27563,22619.25,11499.01,17697.75
SNTS,Profit,202186,215880,221089,218215,189635
SCRC,Profit,4269,5867,5876,4139,N/A
TTLC,Profit,10422,8885,5415,6996,7471
PRSC,Profit,,2016.94,2781.91,2320.36,2066.01
UNLC,Profit,,-10633.33,-2611.3,-12196.83,-2130.66
UNXC,Profit,4013.81,4087,4357.59,2369.6,1150.57
SHEC,Profit,5004.54,5004.54,4388.77,3265.66,2962.39
SIVC,Assets,16984.52,12451.72,11120.17,11995.49,8108.06
SAFC,Assets,68038,68038,65144,63328,64011
BOAC,Assets,642538,623026,607138,491246,355080
BOAN,Assets,294499.2,286739.15,262943.62,233126,192790.92
BNBC,Assets,39888.16,37704.14,38685.92,31550.22,27839.7
SDSC,Assets,647647.2,643083.48,594750.7,516432.49,428741.66
CFAC,Assets,58019.89,50368.56,59589.8,46659.52,42399.6
CIEC,Assets,890899.99,1048196.77,848845.5,664170.82,573099.11
CBIBF,Assets,1132011,884998,648214,533640,452629
SEMC,Assets,20186.27,14636.11,14849.84,16438.38,16114.26
ECOC,Assets,N/A,N/A,N/A,N/A,N/A
FTSC,Assets,58000.49,54488.99,154027.83,153494.07,131121.92
SVOC,Assets,,18892,18892,17387,16574
NEIC,Assets,5827.74,4869.32,8959.58,8606.18,8313.78
NTLC,Assets,145636.66,129950.87,112284.81,82902.82,81327.91
ONTBF,Assets,191724.26,193882,198176.83,192390.77,
PALC,Assets,127545.98,131814.17,148027.62,155838.44,139483.44
SPHC,Assets,137319.99,137319.99,131081.46,126606.98,116663.14
ABJC,Assets,9476.13,9476.13,8590.82,8415.12,4492.66
STAC,Assets,3856.93,5430.27,6654.82,9339.1,6337.93
SGBC,Assets,1662603,1421923,1137673,1020004,865432
CABC,Assets,11575.1,11575.1,10259.5,9155.15,9636.94
SICC,Assets,3680.13,3576.42,1521.95,1627.18,1767.39
STBC,Assets,28338.4,26223.85,42517.42,60369.16,52472.04
SMBC,Assets,89804,83466,76217,184456,181054
SIBC,Assets,995509,906911,747276.12,499791.57,479750.11
SDCC,Assets,194875.71,171159.85,163830.35,153063.93,156686.56
SOGC,Assets,87393.83,86500.2,82035.08,81762.2,83575.94
SLBC,Assets,258729,179908,191090.33,165346.85,142168.68
SNTS,Assets,1595664,1391301,1213066,1117894,1041625
SCRC,Assets,79787,74490,77458,73236,
TTLC,Assets,123059,106898,99149,95725,77168
PRSC,Assets,,33564.9,31767.19,31841.38,22243.17
UNLC,Assets,,75558.66,60711.54,67274.91,62602.02
UNXC,Assets,32293.59,29918.91,24324.51,22010.77,19274.89
SHEC,Assets,92328.18,92328.18,97502.45,89672.96,72702.62
SIVC,Liabilities,8947.29,7507.47,5920.07,7024.69,5259.61
SAFC,Liabilities,61520,61520,58159,56349,57865
BOAC,Liabilities,599605,585394,574006,460705,335096
BOAN,Liabilities,264895.91,259140.08,237023.65,209435,171489.64
BNBC,Liabilities,26374.47,25075.65,26419.82,19633.06,16094.58
SDSC,Liabilities,591209.74,590811.79,546700.78,467100.45,386036.55
CFAC,Liabilities,36846.59,29167,37852.09,25799.73,21887.92
CIEC,Liabilities,871108.7,1020612.44,823823.48,639087.69,547991.46
CBIBF,Liabilities,1016275,779686,587670,480291,403246
SEMC,Liabilities,15339.93,9465.77,9303.44,10826.35,10029.46
ECOC,Liabilities,N/A,N/A,N/A,N/A,N/A
FTSC,Liabilities,30574.92,20799.12,106857.25,107604.32,85135.9
SVOC,Liabilities,,20330,20330,17534,15960
NEIC,Liabilities,5213.47,4760.54,8726.09,8026.09,7679.98
NTLC,Liabilities,47447.85,123932.51,109401.56,82702.27,75452.14
ONTBF,Liabilities,122637.7,129089.53,131799.08,N/A,
PALC,Liabilities,39337.17,50246.68,70592.91,72364.26,55192.25
SPHC,Liabilities,58299.75,58299.75,64922.19,61617.56,49894.2
ABJC,Liabilities,5285.72,5285.72,4792.88,4573.31,1687.58
STAC,Liabilities,4563.27,7013.67,9351.1,12375.48,11486.92
SGBC,Liabilities,1530924,1309802,1043016,933800,795801
CABC,Liabilities,4861.46,4861.46,4158.75,5102.94,3928.74
SICC,Liabilities,1776.29,1773.14,1911.92,1681.25,1889.7
STBC,Liabilities,24928.76,14193.17,25386.32,45835.24,36620.88
SMBC,Liabilities,82124,83291,82902,196676,180099
SIBC,Liabilities,923023,847455,694841.4,456045.77,438333.49
SDCC,Liabilities,181706.24,158073.88,150211.51,139676.23,143986.77
SOGC,Liabilities,28624,30468.1,28055.79,29671.64,31959.04
SLBC,Liabilities,157125,75304,106548.29,98423.26,76702.99
SNTS,Liabilities,969545,749972,588165,525912,487119
SCRC,Liabilities,30627,25594,30423,32077,
TTLC,Liabilities,85966,72805,67645,63183,46130
PRSC,Liabilities,,24693.4,22588.4,23188.7,13895.04
UNLC,Liabilities,,93932.1,68451.65,72403.72,55534.03
UNXC,Liabilities,10092.87,7717.25,13909.22,13928.06,12436.78
SHEC,Liabilities,67369.42,67369.42,75217.22,69445.5,54090.81
SIVC,Equity,8037.23,4944.25,5200.09,4970.8,2848.45
SAFC,Equity,6518,6518,6985,6979,6146
BOAC,Equity,19984,37632,33132,30541,19984
BOAN,Equity,29603.3,27599.07,25919.97,23691,21301.28
BNBC,Equity,13513.69,12628.49,12266.1,11917.15,11745.12
SDSC,Equity,56437.46,52271.69,48049.92,49332.05,42705.11
CFAC,Equity,21173.3,21201.56,21737.71,20859.79,20511.68
CIEC,Equity,19791.29,27584.33,25022.02,25083.14,25107.65
CBIBF,Equity,115736,105312,60544,53349,49383
SEMC,Equity,4846.34,5170.34,5546.4,5612.02,6084.81
ECOC,Equity,N/A,N/A,N/A,N/A,N/A
FTSC,Equity,27425.57,33689.87,47170.58,45889.75,45986.02
SVOC,Equity,,-1438,-1438,-147,614
NEIC,Equity,614.28,108.79,233.49,580.09,633.8
NTLC,Equity,2792.71,6018.37,2883.25,200.55,5875.77
ONTBF,Equity,69086.56,64858.8,60591.69,N/A,
PALC,Equity,88208.81,81567.49,77434.7,83474.18,84291.2
SPHC,Equity,79020.24,79020.24,66159.27,64989.41,66768.94
ABJC,Equity,4190.41,4190.41,3797.95,3841.81,2805.08
STAC,Equity,-706.34,-1583.4,-2696.27,-3036.38,-5148.99
SGBC,Equity,131679,112121,94657,86204,69631
SGBC,Equity,-1583.4,-2696.27,-3036.38,-5148.99,-5487.36
