Sticker,Item,Year,Amount
SIVC,Revenue,2017,7530.36
SAFC,Revenue,2017,27567
BNBC,Revenue,2017,41351.033
SDSC,Revenue,2017,90321.34
CFAC,Revenue,2017,89981.77
CIEC,Revenue,2017,593261.42
SEMC,Revenue,2017,19774.36
FTSC,Revenue,2017,46320.36
SVOC,Revenue,2017,
NEIC,Revenue,2017,6008
NTLC,Revenue,2017,148479.56
ONTBF,Revenue,2017,162722.95
PALC,Revenue,2017,131544.84
SPHC,Revenue,2017,151978.77
ABJC,Revenue,2017,13367.49
STAC,Revenue,2017,3866.31
CABC,Revenue,2017,6459
SICC,Revenue,2017,1105.3
STBC,Revenue,2017,67200.66
SMBC,Revenue,2017,90262
SDCC,Revenue,2017,91269.53
SOGC,Revenue,2017,70043.21
SLBC,Revenue,2017,193372
SNTS,Revenue,2017,972905
SCRC,Revenue,2017,56161.51
TTLC,Revenue,2017,362232
PRSC,Revenue,2017,
UNLC,Revenue,2017,
UNXC,Revenue,2017,37667.29
SHEC,Revenue,2017,311413.74
SIVC,Profit,2017,-990.91
SAFC,Profit,2017,-452
BOAC,Profit,2017,10845
BOAN,Profit,2017,7284.344
BNBC,Profit,2017,2121.79
BICC,Profit,2017,9287.44
SDSC,Profit,2017,13143.41
CFAC,Profit,2017,4067.139
CIEC,Profit,2017,1986.97
CBIBF,Profit,2017,19571
SEMC,Profit,2017,149.57
FTSC,Profit,2017,2492.1
SVOC,Profit,2017,
NEIC,Profit,2017,505.507
NTLC,Profit,2017,-4307.64
ONTBF,Profit,2017,28284.54
PALC,Profit,2017,8707.73
SPHC,Profit,2017,12860.96
ABJC,Profit,2017,992.62
STAC,Profit,2017,877.06
SGBC,Profit,2017,39624
CABC,Profit,2017,597.61
SICC,Profit,2017,100.56
STBC,Profit,2017,-4581.14
SMBC,Profit,2017,7506
SIBC,Profit,2017,22530
SDCC,Profit,2017,2722.63
SOGC,Profit,2017,10428
SLBC,Profit,2017,4250
SNTS,Profit,2017,202186
SCRC,Profit,2017,4269
TTLC,Profit,2017,10422
PRSC,Profit,2017,
UNLC,Profit,2017,
UNXC,Profit,2017,4013.81
SHEC,Profit,2017,5004.54
SIVC,Assets,2017,16984.52
SAFC,Assets,2017,68038
BOAC,Assets,2017,642538
BOAN,Assets,2017,294499.2
BNBC,Assets,2017,39888.16
SDSC,Assets,2017,647647.2
CFAC,Assets,2017,58019.89
CIEC,Assets,2017,890899.99
CBIBF,Assets,2017,1132011
SEMC,Assets,2017,20186.27
ECOC,Assets,2017,N/A
FTSC,Assets,2017,58000.49
SVOC,Assets,2017,
NEIC,Assets,2017,5827.74
NTLC,Assets,2017,145636.66
ONTBF,Assets,2017,191724.26
PALC,Assets,2017,127545.98
SPHC,Assets,2017,137319.99
ABJC,Assets,2017,9476.13
STAC,Assets,2017,3856.93
SGBC,Assets,2017,1662603
CABC,Assets,2017,11575.1
SICC,Assets,2017,3680.13
STBC,Assets,2017,28338.4
SMBC,Assets,2017,89804
SIBC,Assets,2017,995509
SDCC,Assets,2017,194875.71
SOGC,Assets,2017,87393.83
SLBC,Assets,2017,258729
