Symbol,Sector_brvm,Name keywords,sector,industry
SIVC,INDUSTRIE,AIR LIQUIDE,Basic Materials,Chemicals
SAFC,FINANCE,SAFCA,Financials,Financial Services
BOAB,FINANCE,BANK OF AFRICA BN,Financials,Banks
BOABF,FINANCE,BANK OF AFRICA BF,Financials,Banks
BOAC,FINANCE,BANK OF AFRICA CI,Financials,Banks
BOAM,FINANCE,BANK OF AFRICA M,Financials,Banks
BOAN,FINANCE,BANK OF AFRICA NG,Financials,Banks
BOAS,FINANCE,BANK OF AFRICA S,Financials,Banks
BNBC,DISTRIBUTION,BERNABE,Industrials,Support Services
BICC,FINANCE,BICI,Financials,Banks
SDSC,TRANSPORT,BOLLORE ,Industrials,Industrial Transportation
CFAC,DISTRIBUTION,CFAO,Consumer Services,Travel & Leisure
CIEC,SERVICES PUBLICS,CIE,Utilities,Electricity
CBIBF,FINANCE,CORIS,Financials,Banks
SEMC,INDUSTRIE,CROWN,Industrials,General Industrials
ECOC,FINANCE,ECOBANK C,Financials,Banks
ETIT,FINANCE,ECOBANK T,Financials,Banks
FTSC,INDUSTRIE,FILTISAC,Industrials,General Industrials
SVOC,TRANSPORT,MOVIS,Industrials,Industrial Transportation
NEIC,INDUSTRIE,NEI,Consumer Services,General Retailers
NTLC,INDUSTRIE,Nestle,Consumer Goods,Food Producers
NSBC,FINANCE,NSIA,Financials,Banks
ONTBF,SERVICES PUBLICS,ONATEL,Telecommunications,Fixed Line Telecommunications
PALC,AGRICULTURE,PALM,Consumer Goods,Food Producers
SPHC,AGRICULTURE,SAPH,Consumer Goods,Automobiles & Parts
ABJC,DISTRIBUTION,SERVAIR,Industrials,Industrial Transportation
STAC,AUTRES SECTEURS,SETAO,Industrials,Construction & Materials
SGBC,FINANCE,SGB,Financials,Banks
CABC,INDUSTRIE,SICABLE,Industrials,Electronic & Electrical Equipment
SICC,AGRICULTURE,SICOR,Consumer Goods,Food Producers
STBC,INDUSTRIE,SITAB,Consumer Goods,Tobacco
SMBC,INDUSTRIE,SMB,Industrials,Construction & Materials
SIBC,FINANCE,SIB,Financials,Banks
SDCC,SERVICES PUBLICS,SODE,Utilities,Gas & Utilities
SOGC,AGRICULTURE,SOGB,Consumer Goods,Food Producers
SLBC,INDUSTRIE,SOLIBRA,Consumer Goods,Beverages
SNTS,SERVICES PUBLICS,SONATEL,Telecommunications,Fixed Line Telecommunications
SCRC,AGRICULTURE,SUCRIVOIRE,Consumer Goods,Food Producers
TTLC,DISTRIBUTION,TOTAL,Oil & Gas,Oil & Gas Producers
TTLS,DISTRIBUTION,TOTAL SN,Oil & Gas,Oil & Gas Producers
PRSC,DISTRIBUTION,TRACTAFRIC,Consumer Services,General Retailers
UNLC,INDUSTRIE,UNILEVER,Consumer Goods,Personal Goods
UNXC,INDUSTRIE,UNIWAX,Consumer Goods,Personal Goods
SHEC,DISTRIBUTION,VIVO,Oil & Gas,Oil & Gas Producers
